,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
CoV_velocity_left (m/s) (%),0.18829747212890433,-0.3873695076265788,-0.2843246727823439,-0.18740076353980345,0.005359903497514316,0.1637808824539146,-0.028219712453408343,0.07896005740606844,0.1450131233911852,0.04208858193776841,0.1623632151798116,-0.16780533707544404,-0.04512269779748373,-0.013361907042646632,0.7649249074696434
CoV_velocity_right (m/s) (%),0.30124459359414774,-0.03242574842914337,-0.22845052287376702,0.38719189806963916,-0.21961152299418335,0.15677783447728472,0.17386618463341386,0.052095956170598236,0.24762059240740691,0.06787967035346104,-0.16665922393550714,0.03160531417661689,0.002729532214951882,0.7028993211572894,-0.10755651001008842
CoV_cadence_left (Hz) (%),0.2084013029515082,-0.3413464285824764,-0.17189660484301025,-0.4473458129111268,0.10211283385727493,-0.1751354718863009,0.05123789225247674,-0.37716137474913514,0.26616949722339184,0.13164125515833652,-0.38663214543682867,0.3639455468631457,-0.025815109966016037,-0.07614448622196858,-0.21869728854541604
CoV_cadence_right (Hz) (%),0.3430860831861762,0.10621650960474849,-0.09140547042810047,0.0022030189148929493,-0.256297675897342,0.17369827078936073,0.022969759439694568,0.3538756981087111,-0.3379927323243531,-0.08622312268196167,-0.4276831187074226,0.11915435363524159,-0.48243731034427695,-0.2986971788610603,0.01688445172834899
CoV_stride_length_left (m) (%),0.17577072871985902,-0.40372271899820583,-0.25759864475511124,-0.24522218772107854,-0.05038796109195159,0.09443045493638878,-0.06074978166589823,0.1686203207307541,-0.28541817795616037,-0.187235070337691,0.4535919151696746,-0.1972450929283989,-0.01907593223837548,0.07899268956887119,-0.5179447187890052
CoV_stride_length_right (m) (%),0.2116326110972325,-0.23509956550904973,-0.1783075160273566,0.6176569616309269,-0.16362301893143924,-0.3163627692435093,0.09867232181534401,-0.24030133053014854,-0.09386348105699488,-0.027807374872715854,0.23284781962217846,0.23266330860341627,0.10856347452455582,-0.4019856277167355,0.03154188836734146
CoV_stride_time_left (s) (%),0.21680056402784567,-0.18859989765504914,0.4570524579372946,-0.06796170153374463,-0.08155752900479114,-0.06808836901414672,0.10638336923603388,-0.2380681391747693,-0.2736616385262164,-0.6214796678006808,-0.19685309435841883,-0.05842047389768975,0.21761213354848832,0.20439560729763587,0.17946021235304366
CoV_stride_time_right (s) (%),0.25401033049072863,-0.06186125011751148,0.4266413430188997,-0.08635775548279223,-0.273852630536582,0.2312562779322503,-0.1303653104825358,-0.19850603337834813,-0.30926597024171815,0.6411555442026579,0.1572050218346332,0.09373025083992452,0.10718527662048322,0.06855814367607797,0.029722009029958488
CoV_swing_time_left (s) (%),0.31151597567610567,0.03903589753976623,-0.05973781594159744,0.17803367661886585,0.7049222113260656,-0.21908733276252945,-0.10794100977683072,-0.11341887774749351,-0.32127097812983274,0.19985571927676954,-0.1340784874529166,-0.30783893811465435,-0.1498031490462963,0.1343719682665016,0.018539154932172484
CoV_swing_time_right (s) (%),0.31854633342056093,0.2070903696244818,-0.06553501504245966,-0.17841032628817605,-0.11521467438865327,-0.4931987890203161,-0.2586219031278848,0.47159482616444093,0.030258166820307433,0.06244098124359701,-0.04746431493688769,0.05929691637148326,0.5096300888483931,0.028259193444309785,0.05104376814820846
CoV_stance_time_left (s) (%),0.1944851124728082,-0.22135182536162695,0.44194143713643574,0.18269911110386447,0.2505879743784528,0.08828031750579764,-0.43744665135861266,0.25942637206040925,0.40124248709395366,-0.14304695142137638,0.16206633033450185,0.2850831406852353,-0.24740779223764522,-0.014578017301783487,-0.06942159730333974
CoV_stance_time_right (s) (%),0.30504821950557626,0.03048474186635865,0.32198382586246777,-0.07302737579868718,-0.01875727844965784,-0.13528806163092202,0.5983410640288633,0.12808349787829118,0.3645435632684899,0.11478845557895127,0.10908473068511684,-0.41315315146880566,-0.09010155672070268,-0.23048012226824996,-0.11846853900468167
CoV_double_support_time (s) (%),0.26484505530304486,0.3365107967423023,-0.11835384797934212,-0.03234290837624689,-0.2781113874483281,0.039042325333494166,-0.4838201689682634,-0.4493590877174793,0.25754823949084404,-0.15850614846046873,0.034636006090498814,-0.401615092149854,-0.11593398772906174,-0.12052477717325567,-0.06907640222626255
CoV_single_support_time_left (s) (%),0.1968415062594813,0.4370144788367324,-0.054179134648899854,-0.24010563261052206,0.06262789254326818,-0.1788579967728261,0.21005237067339746,-0.14036398341892212,-0.07239314825157919,-0.13231694832311922,0.47900799943371075,0.4220510073286534,-0.32567014190068444,0.22555056942635335,0.1506347613504755
CoV_single_support_time_right (s) (%),0.29524027980565976,0.2547080394869357,-0.1272939297296334,0.013956503101538608,0.3317590658767642,0.6080953384020152,0.134051711453409,-0.026746920862492588,0.046582412703564544,-0.12488973232654331,0.03152996886257877,0.17111868259639243,0.47175864820442176,-0.24256679198074493,-0.05992667325899103
